,,0,12713000
1206857968874139649,Q,1019000,1019000
1206861387412201473,KO;REF,1834000,1834000
1206861505301549056,KO,1862000,1862000
1206869012233228288,OK,3652000,3652000
1206870437025734657,Q,3992000,3992000
1206870632866222080,Q,4039000,4039000
1206871006201167872,Q,4128000,4128000
1206871724928774145,Q;REF,4299000,4299000
1206871900238028805,KO,4341000,4341000
1206872040575246337,,4374000,4374000
1206872870628057090,REF,4572000,4572000
1206873153475162112,KO,4640000,4640000
1206873840846020615,,4803000,4803000
1206873890565300224,REF,4815000,4815000
1206875076987097089,,5098000,5098000
1206878063289675776,REF,5810000,5810000
1206879339943514114,OK,6115000,6115000
1206879990148669440,,6270000,6270000
1206880525799047168,REF,6397000,6397000
1206880584355733509,,6411000,6411000
1206881902180884480,REF,6725000,6725000
1206882404004192256,,6845000,6845000
1206883268202774533,,7051000,7051000
1206883802024423425,,7178000,7178000
1206884513386827779,,7348000,7348000
1206884620127604737,Q,7373000,7373000
1206885622159413248,OK,7612000,7612000
1206886004130537472,REF,7703000,7703000
1206886307038937089,,7776000,7776000
1206886591358259200,OK,7843000,7843000
1206886711067852805,REF,7872000,7872000
1206887354486722561,REF,8025000,8025000
1206887381422497792,OK,8032000,8032000
1206887714529918976,OK,8111000,8111000
1206888166726275074,,8219000,8219000
1206889128606027777,OK,8448000,8448000
1206889165398433792,KO,8457000,8457000
1206890830717431809,,8854000,8854000
1206891952374996993,,9122000,9122000
1206895187299110912,KO,9893000,9893000
1206897396422103041,REF,10420000,10420000
1206898639399985152,REF,10716000,10716000
1206898921634779142,REF,10783000,10783000
1206900781724635141,OK,11227000,11227000
1206902033292439552,REF,11525000,11525000
1206904609551396864,,12139000,12139000
1206906535798099969,REF,12599000,12599000
1206906904863289344,,12687000,12687000
