,created_at,id,id_str,text,truncated,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,possibly_sensitive_appealable,lang,entities.hashtags,entities.symbols,entities.user_mentions,entities.urls,entities.media,extended_entities.media,user.id,user.id_str,user.name,user.screen_name,user.location,user.description,user.url,user.entities.description.urls,user.protected,user.followers_count,user.friends_count,user.listed_count,user.created_at,user.favourites_count,user.utc_offset,user.time_zone,user.geo_enabled,user.verified,user.statuses_count,user.lang,user.contributors_enabled,user.is_translator,user.is_translation_enabled,user.profile_background_color,user.profile_background_image_url,user.profile_background_image_url_https,user.profile_background_tile,user.profile_image_url,user.profile_image_url_https,user.profile_link_color,user.profile_sidebar_border_color,user.profile_sidebar_fill_color,user.profile_text_color,user.profile_use_background_image,user.has_extended_profile,user.default_profile,user.default_profile_image,user.following,user.follow_request_sent,user.notifications,user.translator_type,user.withheld_in_countries,user.entities.url.urls,user.profile_banner_url,retweeted_status.created_at,retweeted_status.id,retweeted_status.id_str,retweeted_status.text,retweeted_status.truncated,retweeted_status.entities.hashtags,retweeted_status.entities.symbols,retweeted_status.entities.user_mentions,retweeted_status.entities.urls,retweeted_status.source,retweeted_status.in_reply_to_status_id,retweeted_status.in_reply_to_status_id_str,retweeted_status.in_reply_to_user_id,retweeted_status.in_reply_to_user_id_str,retweeted_status.in_reply_to_screen_name,retweeted_status.user.id,retweeted_status.user.id_str,retweeted_status.user.name,retweeted_status.user.screen_name,retweeted_status.user.location,retweeted_status.user.description,retweeted_status.user.url,retweeted_status.user.entities.url.urls,retweeted_status.user.entities.description.urls,retweeted_status.user.protected,retweeted_status.user.followers_count,retweeted_status.user.friends_count,retweeted_status.user.listed_count,retweeted_status.user.created_at,retweeted_status.user.favourites_count,retweeted_status.user.utc_offset,retweeted_status.user.time_zone,retweeted_status.user.geo_enabled,retweeted_status.user.verified,retweeted_status.user.statuses_count,retweeted_status.user.lang,retweeted_status.user.contributors_enabled,retweeted_status.user.is_translator,retweeted_status.user.is_translation_enabled,retweeted_status.user.profile_background_color,retweeted_status.user.profile_background_image_url,retweeted_status.user.profile_background_image_url_https,retweeted_status.user.profile_background_tile,retweeted_status.user.profile_image_url,retweeted_status.user.profile_image_url_https,retweeted_status.user.profile_link_color,retweeted_status.user.profile_sidebar_border_color,retweeted_status.user.profile_sidebar_fill_color,retweeted_status.user.profile_text_color,retweeted_status.user.profile_use_background_image,retweeted_status.user.has_extended_profile,retweeted_status.user.default_profile,retweeted_status.user.default_profile_image,retweeted_status.user.following,retweeted_status.user.follow_request_sent,retweeted_status.user.notifications,retweeted_status.user.translator_type,retweeted_status.user.withheld_in_countries,retweeted_status.geo,retweeted_status.coordinates,retweeted_status.place,retweeted_status.contributors,retweeted_status.is_quote_status,retweeted_status.retweet_count,retweeted_status.favorite_count,retweeted_status.favorited,retweeted_status.retweeted,retweeted_status.lang,retweeted_status.entities.media,retweeted_status.extended_entities.media,retweeted_status.user.profile_banner_url,retweeted_status.possibly_sensitive,retweeted_status.possibly_sensitive_appealable
0,Wed Dec 18 08:38:06 +0000 2019,1207218466442403840,1207218466442403840,"#enmi19 on commence avec Paolo Vignola, Sara Baranzoni et Yves Citton. https://t.co/ehgaTJBlNI",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,False,False,fr,"[{'text': 'enmi19', 'indices': [0, 7]}]",[],[],[],"[{'id': 1207218461094633477, 'id_str': '1207218461094633477', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EMDmy1PW4AUt61q.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EMDmy1PW4AUt61q.jpg', 'url': 'https://t.co/ehgaTJBlNI', 'display_url': 'pic.twitter.com/ehgaTJBlNI', 'expanded_url': 'https://twitter.com/GiacomoGilmozzi/status/1207218466442403840/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]","[{'id': 1207218461094633477, 'id_str': '1207218461094633477', 'indices': [71, 94], 'media_url': 'http://pbs.twimg.com/media/EMDmy1PW4AUt61q.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EMDmy1PW4AUt61q.jpg', 'url': 'https://t.co/ehgaTJBlNI', 'display_url': 'pic.twitter.com/ehgaTJBlNI', 'expanded_url': 'https://twitter.com/GiacomoGilmozzi/status/1207218466442403840/photo/1', 'type': 'photo', 'sizes': {'large': {'w': 2048, 'h': 1152, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 675, 'resize': 'fit'}}}]",1206604191839531009,1206604191839531009,Giacomo Gilmozzi,GiacomoGilmozzi,,,,[],False,15,101,0,Mon Dec 16 15:57:28 +0000 2019,7,,,False,False,31,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1206605071221432320/eWQt4K5n_normal.jpg,https://pbs.twimg.com/profile_images/1206605071221432320/eWQt4K5n_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Wed Dec 18 08:48:52 +0000 2019,1207221176646471680,1207221176646471680,"#enmi19 Paolo Vignola ""Passer de la localité comme carte postale à la localité comme seuil"" ++",False,"<a href=""https://polemictweet.com"" rel=""nofollow"">PolemicTweet</a>",,,,,,,,,,False,0,0,False,False,,,fr,"[{'text': 'enmi19', 'indices': [0, 7]}]",[],[],[],,,470605252,470605252,Guilhem VINCENT,aArchitecton,,"Le chaos est une échelle
#ArchitectureTransversale
#RechercheContributive
#PharmacologieGénérale",https://t.co/vWJVEbz3Fm,[],False,156,1138,1,Sat Jan 21 23:21:48 +0000 2012,9942,,,False,False,676,,False,False,False,FFFFFF,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1292522550828969989/2pi_Pffo_normal.jpg,https://pbs.twimg.com/profile_images/1292522550828969989/2pi_Pffo_normal.jpg,91D2FA,FFFFFF,DDEEF6,333333,True,False,False,False,False,False,False,none,[],"[{'url': 'https://t.co/vWJVEbz3Fm', 'expanded_url': 'http://aarchitecte.wordpress.com', 'display_url': 'aarchitecte.wordpress.com', 'indices': [0, 23]}]",https://pbs.twimg.com/profile_banners/470605252/1613587029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wed Dec 18 08:49:21 +0000 2019,1207221300986548224,1207221300986548224,"#enmi19 Passer le la localité comme carte postale conservatrice et réactionnaire à la localité comme seuil, comme membrane. ++",False,"<a href=""https://polemictweet.com"" rel=""nofollow"">PolemicTweet</a>",,,,,,,,,,False,0,0,False,False,,,fr,"[{'text': 'enmi19', 'indices': [0, 7]}]",[],[],[],,,68424173,68424173,Vincent Puig,vincentpuig,"Paris, France","Co-founder of IRI/Centre Pompidou, Research Institute on contributive technologies (annotation, deliberation, interpretation) and territorial experimentations",http://t.co/nJd6Ylxzxp,[],False,1123,17,66,Mon Aug 24 14:49:27 +0000 2009,2,,,False,False,3257,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,https://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'http://t.co/nJd6Ylxzxp', 'expanded_url': 'http://www.iri.centrepompidou.fr', 'display_url': 'iri.centrepompidou.fr', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wed Dec 18 08:50:53 +0000 2019,1207221684442415104,1207221684442415104,#enmi19 La localité est inappropriable car elle est toujours et collective et individuelle ++,False,"<a href=""https://polemictweet.com"" rel=""nofollow"">PolemicTweet</a>",,,,,,,,,,False,0,0,False,False,,,fr,"[{'text': 'enmi19', 'indices': [0, 7]}]",[],[],[],,,68424173,68424173,Vincent Puig,vincentpuig,"Paris, France","Co-founder of IRI/Centre Pompidou, Research Institute on contributive technologies (annotation, deliberation, interpretation) and territorial experimentations",http://t.co/nJd6Ylxzxp,[],False,1123,17,66,Mon Aug 24 14:49:27 +0000 2009,2,,,False,False,3257,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,https://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'http://t.co/nJd6Ylxzxp', 'expanded_url': 'http://www.iri.centrepompidou.fr', 'display_url': 'iri.centrepompidou.fr', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Wed Dec 18 08:51:16 +0000 2019,1207221780332634112,1207221780332634112,#enmi19 échelles de localité **,False,"<a href=""https://polemictweet.com"" rel=""nofollow"">PolemicTweet</a>",,,,,,,,,,False,0,0,False,False,,,fr,"[{'text': 'enmi19', 'indices': [0, 7]}]",[],[],[],,,68424173,68424173,Vincent Puig,vincentpuig,"Paris, France","Co-founder of IRI/Centre Pompidou, Research Institute on contributive technologies (annotation, deliberation, interpretation) and territorial experimentations",http://t.co/nJd6Ylxzxp,[],False,1123,17,66,Mon Aug 24 14:49:27 +0000 2009,2,,,False,False,3257,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,https://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'http://t.co/nJd6Ylxzxp', 'expanded_url': 'http://www.iri.centrepompidou.fr', 'display_url': 'iri.centrepompidou.fr', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Wed Dec 18 08:53:13 +0000 2019,1207222271456268289,1207222271456268289,#enmi19 recherche contributive **,False,"<a href=""https://polemictweet.com"" rel=""nofollow"">PolemicTweet</a>",,,,,,,,,,False,0,0,False,False,,,fr,"[{'text': 'enmi19', 'indices': [0, 7]}]",[],[],[],,,68424173,68424173,Vincent Puig,vincentpuig,"Paris, France","Co-founder of IRI/Centre Pompidou, Research Institute on contributive technologies (annotation, deliberation, interpretation) and territorial experimentations",http://t.co/nJd6Ylxzxp,[],False,1123,17,66,Mon Aug 24 14:49:27 +0000 2009,2,,,False,False,3257,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,https://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'http://t.co/nJd6Ylxzxp', 'expanded_url': 'http://www.iri.centrepompidou.fr', 'display_url': 'iri.centrepompidou.fr', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Wed Dec 18 08:54:42 +0000 2019,1207222645013565440,1207222645013565440,#enmi19 Présentation du projet Guayaquil Archiplelago,False,"<a href=""https://polemictweet.com"" rel=""nofollow"">PolemicTweet</a>",,,,,,,,,,False,0,0,False,False,,,fr,"[{'text': 'enmi19', 'indices': [0, 7]}]",[],[],[],,,68424173,68424173,Vincent Puig,vincentpuig,"Paris, France","Co-founder of IRI/Centre Pompidou, Research Institute on contributive technologies (annotation, deliberation, interpretation) and territorial experimentations",http://t.co/nJd6Ylxzxp,[],False,1123,17,66,Mon Aug 24 14:49:27 +0000 2009,2,,,False,False,3257,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,https://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'http://t.co/nJd6Ylxzxp', 'expanded_url': 'http://www.iri.centrepompidou.fr', 'display_url': 'iri.centrepompidou.fr', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Wed Dec 18 09:01:11 +0000 2019,1207224275356311552,1207224275356311552,#enmi19 invoquer les modèles et résultat de la topologie mathématique — peut-être la théorie de catastrophes de René Thom ??,False,"<a href=""https://polemictweet.com"" rel=""nofollow"">PolemicTweet</a>",,,,,,,,,,False,0,0,False,False,,,fr,"[{'text': 'enmi19', 'indices': [0, 7]}]",[],[],[],,,2221396986,2221396986,A.Pierrot,APierrot_,,,,[],False,60,65,3,Fri Nov 29 13:00:25 +0000 2013,573,,,True,False,3395,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/541156870841315328/FVP6Otvh_normal.jpeg,https://pbs.twimg.com/profile_images/541156870841315328/FVP6Otvh_normal.jpeg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Wed Dec 18 09:02:17 +0000 2019,1207224553132429312,1207224553132429312,#enmi19 Edouard Glissant sur le lieu commun : https://t.co/l2Rtb0YgGv **,False,"<a href=""https://polemictweet.com"" rel=""nofollow"">PolemicTweet</a>",,,,,,,,,,False,0,0,False,False,False,False,fr,"[{'text': 'enmi19', 'indices': [0, 7]}]",[],[],"[{'url': 'https://t.co/l2Rtb0YgGv', 'expanded_url': 'http://www.edouardglissant.fr/biondi.pdf', 'display_url': 'edouardglissant.fr/biondi.pdf', 'indices': [46, 69]}]",,,68424173,68424173,Vincent Puig,vincentpuig,"Paris, France","Co-founder of IRI/Centre Pompidou, Research Institute on contributive technologies (annotation, deliberation, interpretation) and territorial experimentations",http://t.co/nJd6Ylxzxp,[],False,1123,17,66,Mon Aug 24 14:49:27 +0000 2009,2,,,False,False,3257,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,https://pbs.twimg.com/profile_images/379424006/PortaitVP120Ko_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],"[{'url': 'http://t.co/nJd6Ylxzxp', 'expanded_url': 'http://www.iri.centrepompidou.fr', 'display_url': 'iri.centrepompidou.fr', 'indices': [0, 22]}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Wed Dec 18 09:03:38 +0000 2019,1207224894745907201,1207224894745907201,"#enmi19 **urgence, transition, contribution",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,,,,,False,0,0,False,False,,,fr,"[{'text': 'enmi19', 'indices': [0, 7]}]",[],[],[],,,1206604191839531009,1206604191839531009,Giacomo Gilmozzi,GiacomoGilmozzi,,,,[],False,15,101,0,Mon Dec 16 15:57:28 +0000 2019,7,,,False,False,31,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1206605071221432320/eWQt4K5n_normal.jpg,https://pbs.twimg.com/profile_images/1206605071221432320/eWQt4K5n_normal.jpg,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
